"","player_api_id","totalMatchPlayed","totalLeaguecount","max_gk","max_rating","player_name"
"1",42119,175,6,,,"Gelson Fernandes"
"2",178538,105,5,134,77,"Filip Djuricic"
"3",116750,151,5,106,77,"Ricky van Wolfswinkel"
"4",30841,147,4,424,85,"Maarten Stekelenburg"
"5",109060,101,4,392,78,"Sergio Romero"
"6",38229,167,4,181,82,"Bryan Ruiz"
"7",32937,101,4,164,83,"Christian Poulsen"
"8",26434,94,4,154,82,"Ibrahim Afellay"
"9",30477,63,4,152,78,"Danijel Pranjic"
"10",46509,173,4,150,86,"Angel Di Maria"
"11",40004,63,4,149,75,"Hassan Yebda"
"12",38795,118,4,148,75,"Sebastien Pocognoli"
"13",26675,141,4,145,80,"Eljero Elia"
"14",22543,147,4,144,90,"Radamel Falcao"
"15",33074,38,4,142,86,"Eidur Gudjohnsen"
"16",31300,151,4,141,80,"Rolando"
"17",30918,123,4,140,81,"David Rozehnal"
"18",24123,130,4,139,78,"Jonathan De Guzman"
"19",36784,178,4,139,85,"Klaas Jan Huntelaar"
"20",26489,89,4,138,75,"Edson Braafheid"
"21",96643,97,4,138,81,"Bojan Krkic"
"22",71353,116,4,135,81,"Marko Marin"
"23",163199,55,4,132,79,"Vladimir Weiss"
"24",176300,134,4,132,80,"Xherdan Shaqiri"
"25",93484,182,4,130,79,"Aly Cissokho"
"26",156556,41,4,129,74,"Nelson Oliveira"
"27",40165,121,4,121,80,"Pablo Osvaldo"
"28",41877,54,4,119,79,"Olivier Kapo"
"29",30890,90,4,117,81,"Philippe Senderos"
"30",170775,71,4,112,77,"Haris Seferovic"
"31",163205,72,4,110,76,"Gael Kakuta"
"32",183548,25,4,108,71,"Stefan Scepovic"
"33",129918,89,4,63,76,"Alfred Finnbogason"
"34",242887,61,4,56,76,"Christian Atsu"
"35",156534,59,4,51,67,"Aleksandar Tonev"
"36",213502,17,4,42,72,"Jose Campana"
"37",25816,68,4,,,"Almen Abdi"
"38",30692,35,4,,,"Oguchi Onyewu"
"39",31294,88,4,,,"Niki Zimling"
